name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1081
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, food, point_of_interest, establishment",298
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, food, point_of_interest, establishment",150
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, store, food, point_of_interest, establishment",41
FIREFLY Restaurant + Game Room,4.4,38.0259711,-78.4672162,"1304 East Market Street, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",842
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1036
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",N/A
Monticello Café,4,38.00572029999999,-78.4518507,"1050 Monticello Loop, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",380
Spencer party,N/A,38.0244641,-78.4755275,"824 Hinton Avenue, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",N/A
Mockingbird,4.6,38.0245712,-78.47495049999999,"421 Monticello Road, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",132
CONMOLE,4.7,38.024679,-78.4757654,"816 Hinton Avenue, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",159
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, point_of_interest, store, food, establishment",3245
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, point_of_interest, store, food, establishment",1199
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_delivery, bar, meal_takeaway, restaurant, point_of_interest, food, establishment",371
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",759
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, point_of_interest, store, food, establishment",126
